13 69 79 11 39 8 5 30
6 65
11 4
8 34
8 56
7 17
8 1
2 24
11 13
10 23
6 13
6 34
5 4
1 50
5 46
3 17
10 3
11 42
1 17
1 4
2 23
8 66
2 3
1 24
1 34
8 9
2 58
11 11
11 38
8 23
6 57
0 33 RIGHT
-1 -1 NONE
-1 -1 NONE
0 33 RIGHT
1 33 RIGHT
-1 -1 NONE
0 33 RIGHT
1 33 LEFT
1 32 LEFT
1 31 LEFT
1 30 LEFT
1 29 LEFT
1 28 LEFT
1 27 LEFT
1 26 LEFT
1 25 LEFT
1 24 LEFT
2 24 LEFT
3 24 LEFT
3 23 LEFT
3 22 LEFT
3 21 LEFT
3 20 LEFT
3 19 LEFT
3 18 LEFT
3 17 LEFT
4 17 LEFT
3 18 LEFT
3 17 LEFT
4 17 LEFT
5 17 LEFT
5 16 LEFT
5 15 LEFT
5 14 LEFT
5 13 LEFT
5 12 LEFT
5 11 LEFT
5 10 LEFT
5 9 LEFT
5 8 LEFT
5 7 LEFT
5 6 LEFT
5 5 LEFT
5 4 LEFT
6 4 LEFT
5 5 LEFT
5 4 LEFT
6 4 RIGHT
6 5 RIGHT
6 6 RIGHT
6 7 RIGHT
6 8 RIGHT
6 9 RIGHT
6 10 RIGHT
6 11 RIGHT
6 12 RIGHT
6 13 RIGHT
7 13 RIGHT
7 14 RIGHT
7 15 RIGHT
7 16 RIGHT
7 17 RIGHT
8 17 RIGHT
8 18 RIGHT
8 19 RIGHT
8 20 RIGHT
8 21 RIGHT
8 22 RIGHT
8 23 RIGHT
9 23 RIGHT
8 22 RIGHT
8 23 RIGHT
9 23 RIGHT
10 23 RIGHT
11 23 RIGHT
11 24 RIGHT
11 25 RIGHT
11 26 RIGHT
11 27 RIGHT
